Asset Path,Asset Path (Normalized),Power Connectors,Real Slot Size
Prefabs/Generic/GPU,Prefabs/Generic/GPU,None,1.5
Prefabs/GPU/AMD/AMD_RadeonVega_RX64_8GB,Prefabs/GPU/AMD/AMD_RadeonVega_RX64_8GB,8-pin + 8-pin,2
Prefabs/GPU/AMD/GPU_AMD_Radeon_RX_5700,Prefabs/GPU/AMD/GPU_AMD_Radeon_RX_5700,8-pin + 6-pin,2
Prefabs/GPU/AMD/GPU_AMD_Radeon_RX_5700XT,Prefabs/GPU/AMD/GPU_AMD_Radeon_RX_5700XT,8-pin + 6-pin,2
Prefabs/GPU/AMD/GPU_AMD_Radeon_VII,Prefabs/GPU/AMD/GPU_AMD_Radeon_VII,8-pin + 8-pin,2
Prefabs/GPU/AsRock/GPU_ASRock_PhantomGaming_Radeon_RX560_G,Prefabs/GPU/AsRock/GPU_ASRock_PhantomGaming_Radeon_RX560_G,None,2
Prefabs/GPU/AsRock/GPU_ASRock_PhantomGaming_X_Radeon_RX580_8G_OC,Prefabs/GPU/AsRock/GPU_ASRock_PhantomGaming_X_Radeon_RX580_8G_OC,8-pin,2
Prefabs/GPU/AsRock/GPU_ASRock_PhantomGamingD_Radeon_RX580_8G_OC,Prefabs/GPU/AsRock/GPU_ASRock_PhantomGamingD_Radeon_RX580_8G_OC,6-pin,2
Prefabs/GPU/AsRock/GPU_ASRock_PhantomGamingX_Radeon_RX590_8G_OC,Prefabs/GPU/AsRock/GPU_ASRock_PhantomGamingX_Radeon_RX590_8G_OC,8-pin,2
Prefabs/GPU/AsRock/GPU_ASRock_PhantomGamingX_RadeonRXVEGA_56_8G,Prefabs/GPU/AsRock/GPU_ASRock_PhantomGamingX_RadeonRXVEGA_56_8G,8-pin + 8-pin,2
Prefabs/GPU/ASUS/ASUS_1080_OC,Prefabs/GPU/ASUS/ASUS_1080_OC,8-pin + 6-pin,2.5
Prefabs/GPU/ASUS/ASUS_1080Ti_OC,Prefabs/GPU/ASUS/ASUS_1080Ti_OC,8-pin + 8-pin,2.5
Prefabs/GPU/ASUS/ASUS_AREZ_Radeon_RX_580,Prefabs/GPU/ASUS/ASUS_AREZ_Radeon_RX_580,8-pin,2.5
Prefabs/GPU/ASUS/ASUS_AREZ_Strix_RX_Vega56_OC,Prefabs/GPU/ASUS/ASUS_AREZ_Strix_RX_Vega56_OC,8-pin + 8-pin,2.5
Prefabs/GPU/ASUS/ASUS_Dual_RX580_OC,Prefabs/GPU/ASUS/ASUS_Dual_RX580_OC,8-pin,2
Prefabs/GPU/ASUS/ASUS_Expedition_Radeon_RX_570_OC,Prefabs/GPU/ASUS/ASUS_Expedition_Radeon_RX_570_OC,8-pin,2
Prefabs/GPU/ASUS/ASUS_ROG_STRIX_RX_560_OC,Prefabs/GPU/ASUS/ASUS_ROG_STRIX_RX_560_OC,6-pin,2
Prefabs/GPU/ASUS/ASUS_RX_560,Prefabs/GPU/ASUS/ASUS_RX_560,None,2
Prefabs/GPU/ASUS/ASUS_Strix_1060_OC,Prefabs/GPU/ASUS/ASUS_Strix_1060_OC,8-pin,2.5
